domain,agency,status,redirect,xml,items,pdfs
cfcredrivervalley.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcofthecsra.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcofgreatersocal.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcofcva.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcnps.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcnnj.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcnorthtexas.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcmontereysantacruz.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcmidsouth.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcnca.org,"Combined Federal Campaign",200,"https://givecfc.org/",false,0,1
cfcindiana.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcgreaternc.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcgreaterarkansas.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcmaine.org,"Combined Federal Campaign",200,"https://www.cfcmaine.org/sitemap.xml",true,0,0
cfcgno.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcforthood.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfccoastalga.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcaz.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfcgive.org,"Combined Federal Campaign",200,"https://cfcgive.org/sitemap.xml",false,0,0
cfcaaga.org,"Combined Federal Campaign",500,"undefined",false,0,0
cf-cfc.org,"Combined Federal Campaign",500,"undefined",false,0,0
centraltexascfc.org,"Combined Federal Campaign",500,"undefined",false,0,0
centralpacfc.org,"Combined Federal Campaign",500,"undefined",false,0,0
cfc-centralok.org,"Combined Federal Campaign",500,"undefined",false,0,0
centralcaliforniacfc.org,"Combined Federal Campaign",500,"undefined",false,0,0
cdse.edu,"Department of Defense (DOD)",404,"https://www.cdse.edu/sitemap.xml",false,0,0
cbp-ntep.info,"Customs and Border Patrol (CBP)",500,"undefined",false,0,0
cbacfc.org,"Combined Federal Campaign",200,"https://cbacfc.org/sitemap_index.xml",true,0,0
careeronestop.org,"Employment and Training Administration",202,"https://www.careeronestop.org/sitemap.xml",false,0,0
careerinfonet.org,"Employment and Training Administration",202,"https://www.careeronestop.org/Toolkit/ACINet.aspx",false,0,0
capmembers.com,"U.S. Air Force Auxiliary",200,"https://www.gocivilairpatrol.com/sitemap.xml",true,1402,0
cdcnpin.org,"Centers for Disease Control and Prevention (CDC)",404,"http://cdcnpin.org/sitemap.xml",false,0,0
buyaccessible.net,"General Services Administration (GSA)",200,"http://www.buyaccessible.net/sitemap.xml",false,0,0
cfcnexus.org,"Combined Federal Campaign",500,"undefined",false,0,0
bobber.info,"U.S. Army Corps of Engineers",404,"http://www.bobber.info/v20160617/ecards/pills/sitemap.xml",false,0,0
bushlibrary.tamu.edu,"National Archives and Records Administration (NARA)",200,"https://www.bush41.org/",false,0,0
bie.edu,"Department of the Interior",200,"https://www.bie.edu/sitemap.xml",true,1300,0
benefeds.com,"Office of Personnel Management (OPM)",200,"https://www.benefeds.gov/sitemap.xml",true,53,0
badgerlandcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0
atlanticcoastcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0
aww.aww-sp.com,"U.S. Coast Guard",200,"http://ww38.aww.aww-sp.com/sitemap.xml",false,0,0
askjan.org,"Department of Labor",200,"https://askjan.org/sitemap.xml",true,16565,0
auxpa.org,"U.S. Coast Guard Auxiliary",200,"http://wow.uscgaux.info/no_website.php?unit=A-DEPT/SITEMAP.XML",false,0,0
armyfuturescommand.com,"Department of the Army",404,"http://www.armyfuturescommand.com/sitemap.xml",false,0,0
armedforcessports.com,"Department of Defense (DOD)",302,"undefined",false,0,0
amtrak.com,"National Railroad Passenger Corporation",200,"https://www.amtrak.com/sitemap.xml",true,1589,0
americorpsconnect.org,"Corporation for National and Community Service",404,"undefined",false,0,0
alaskacfc.org,"Combined Federal Campaign",500,"undefined",false,0,0
alhurra.com,"U.S. Agency for Global Media",200,"https://www.alhurra.com/sitemap.xml",true,0,0
ajb.org,"Employment and Training Administration",202,"https://www.careeronestop.org/JobSearch/FindJobs/state-job-banks.aspx",false,0,0
amver.com,"U.S. Coast Guard",200,"https://amver.com/Error/Index?",false,0,0
airspacemag.com,"Smithsonian Institution",200,"https://www.smithsonianmag.com/sitemap.xml",true,0,0
airforce.com,"Department of the Air Force",200,"https://www.airforce.com/sitemap.xml",true,401,0
airdefenseartillery.com,"Department of Defense (DOD)",200,"https://airdefenseartillery.com/sitemap.xml",false,0,0
agfirst.com,"Farm Credit Administration",200,"https://www.agfirst.com/sitemap.xml",true,115,0
agribank.com,"Farm Credit Administration",200,"https://www.agribank.com/sitemap_index.xml",true,0,0
afthunderbirds.com,"Department of the Air Force",200,"https://afthunderbirds.com/sitemap_index.xml",true,0,0
afpmb.org,"Department of Defense (DOD)",200,"http://www.afpmb.org/sitemap.xml",false,0,0
afreserve.com,"Department of the Air Force",200,"https://www.airforce.com/afreserve/sitemap.xml",true,401,0
afneurope.net,"Department of Defense (DOD)",400,"http://afneurope.net/sitemap.xml",false,0,0
afacademy.af.edu,"Department of Defense (DOD)",500,"undefined",false,0,0
academyadmissions.com,"Department of Defense (DOD)",403,"undefined",false,0,0
adlnet.org,"Department of Defense (DOD)",200,"https://www.adlnet.org/sitemap_index.xml",true,0,0
3riverscfc.org,"Combined Federal Campaign",500,"undefined",false,0,0
18f.us,"General Services Administration (GSA)",200,"https://18f.us/sitemap.xml",false,0,0
aal.army,"Department of the Army",200,"https://aal.army/sitemap.xml",true,46,30
data.medicaid.gov,"Department of Health and Human Services",200,"https://data.medicaid.gov/sitemap.xml",true,495,0
whdpc.gov,"Western Hemisphere Drug Policy Commission",200,"http://www.whdpc.gov/sitemap.xml",false,0,0
openpaymentsdata.cms.gov,"Department of Health and Human Services",200,"https://openpaymentsdata.cms.gov/sitemap.xml",true,86,0
sen.gov,"United States Senate",404,"https://sen.gov/sitemap.xml",false,0,0
senate.gov,"United States Senate",200,"https://www.senate.gov/pagelayout/general/one_item_and_teasers/file_not_found.htm",false,0,0
ussemiquincentennial.gov,"U.S. Semiquincentennial Commission",200,"https://ussemiquincentennial.gov/sitemap.xml",false,0,0
uscc.gov,"U.S.-China Economic and Security Review Commission",200,"https://www.uscc.gov/sitemap.xml",true,716,0
usa250.gov,"U.S. Semiquincentennial Commission",200,"https://america250.org/sitemap_index.xml",true,0,0
america250.gov,"U.S. Semiquincentennial Commission",200,"https://america250.org/sitemap_index.xml",true,0,0
uscp.gov,"U.S. Capitol Police",404,"https://www.uscp.gov/sitemap.xml",false,0,0
ushr.gov,"The Legislative Branch",500,"undefined",false,0,0
ushouse.gov,"The Legislative Branch",500,"undefined",false,0,0
tmdbhouse.gov,"The Legislative Branch",500,"undefined",false,0,0
uscapitolpolice.gov,"U.S. Capitol Police",500,"undefined",false,0,0
speaker.gov,"The Legislative Branch",200,"https://www.speaker.gov/sitemap.xml",true,0,0
republicanwhip.gov,"The Legislative Branch",404,"https://www.majoritywhip.gov/sitemap.xml",false,0,0
taxreform.gov,"The Legislative Branch",500,"undefined",false,0,0
republicanleader.gov,"The Legislative Branch",404,"https://www.majorityleader.gov/sitemap.xml",false,0,0
afnpacific.net,"Department of Defense (DOD)",500,"http://afnpacific.net/sitemap.xml",false,0,0
ppdcecc.gov,"The Legislative Branch",200,"https://www.ppdcecc.gov/session_timeout.do",false,0,0
minoritywhip.gov,"The Legislative Branch",404,"https://democraticwhip.house.gov/sitemap.xml",false,0,0
majoritywhip.gov,"The Legislative Branch",404,"https://www.majoritywhip.gov/sitemap.xml",false,0,0
republicans.gov,"The Legislative Branch",500,"undefined",false,0,0
jct.gov,"The Legislative Branch",403,"undefined",false,0,0
majorityleader.gov,"The Legislative Branch",404,"https://www.majorityleader.gov/sitemap.xml",false,0,0
housedems.gov,"The Legislative Branch",500,"undefined",false,0,0
housenewsletters.gov,"The Legislative Branch",500,"undefined",false,0,0
houselive.gov,"The Legislative Branch",500,"undefined",false,0,0
housecommunications.gov,"The Legislative Branch",404,"https://www.housecommunications.gov/sitemap.xml",false,0,0
housedemocrats.gov,"The Legislative Branch",500,"undefined",false,0,0
house.gov,"The Legislative Branch",404,"https://www.house.gov/sitemap.xml",false,0,0
gopleader.gov,"The Legislative Branch",404,"https://www.majorityleader.gov/sitemap.xml",false,0,0
gopwhip.gov,"The Legislative Branch",404,"https://www.majoritywhip.gov/sitemap.xml",false,0,0
gop.gov,"The Legislative Branch",404,"https://www.gop.gov/sitemap.xml",false,0,0
democrats.gov,"The Legislative Branch",500,"undefined",false,0,0
dems.gov,"The Legislative Branch",200,"https://www.dems.gov/sitemap.xml",true,1084,0
housed.gov,"The Legislative Branch",500,"undefined",false,0,0
democraticwhip.gov,"The Legislative Branch",404,"https://democraticwhip.house.gov/sitemap.xml",false,0,0
csce.gov,"The Legislative Branch",404,"https://www.csce.gov/sitemap.xml",false,0,0
democraticleader.gov,"The Legislative Branch",404,"https://democraticleader.house.gov/sitemap.xml",false,0,0
chinacommission.gov,"The Legislative Branch",500,"undefined",false,0,0
cecc.gov,"The Legislative Branch",404,"https://www.cecc.gov/sitemap.xml",false,0,0
assistantdemocraticleader.gov,"The Legislative Branch",500,"undefined",false,0,0
stennis.gov,"Stennis Center for Public Service",200,"https://stennis.gov/sitemap_index.xml",true,0,0
openworld.gov,"Open World Leadership Center",404,"https://www.openworld.gov/sitemap.xml",false,0,0
china-commission.gov,"The Legislative Branch",500,"undefined",false,0,0
compliance.gov,"Office of Congressional Workplace Rights",404,"http://www.compliance.gov/sitemap.xml",false,0,0
medpac.gov,"Medical Payment Advisory Commission",200,"https://www.medpac.gov/wp-sitemap.xml",true,0,0
coil.gov,"Open World Leadership Center",400,"undefined",false,0,0
macpac.gov,"Medicaid and CHIP Payment and Access Commission",200,"https://www.macpac.gov/sitemap.xml",true,501,0
womenshistorymonth.gov,"Library of Congress",404,"https://womenshistorymonth.gov/sitemap.xml",false,0,0
uscongress.gov,"Library of Congress",403,"undefined",false,0,0
ocwr.gov,"Office of Congressional Workplace Rights",200,"https://www.ocwr.gov/sitemap_index.xml",true,0,0
unitedstatescongress.gov,"Library of Congress",403,"undefined",false,0,0
tps.gov,"Library of Congress",200,"https://www.loc.gov/programs/teachers/about-this-program/teaching-with-primary-sources-partner-program/",false,0,0
section108.gov,"Library of Congress",404,"https://section108.gov/sitemap.xml",false,0,0
read.gov,"Library of Congress",404,"https://read.gov/sitemap.xml",false,0,0
nativeamericanheritagemonth.gov,"Library of Congress",404,"https://nativeamericanheritagemonth.gov/sitemap.xml",false,0,0
loc.gov,"Library of Congress",200,"https://www.loc.gov/sitemap.xml",true,0,0
loctps.gov,"Library of Congress",200,"https://www.loc.gov/programs/teachers/about-this-program/teaching-with-primary-sources-partner-program/",false,0,0
literacy.gov,"Library of Congress",200,"https://read.gov/",false,0,0
libraryofcongress.gov,"Library of Congress",200,"https://www.loc.gov/sitemap.xml",true,0,0
lctl.gov,"Library of Congress",500,"undefined",false,0,0
law.gov,"Library of Congress",200,"https://www.loc.gov/research-centers/law-library-of-congress/about-this-research-center/",false,0,0
jewishheritagemonth.gov,"Library of Congress",404,"https://jewishheritagemonth.gov/sitemap.xml",false,0,0
jewishheritage.gov,"Library of Congress",500,"undefined",false,0,0
thomas.gov,"Library of Congress",500,"undefined",false,0,0
hispanicheritagemonth.gov,"Library of Congress",404,"https://hispanicheritagemonth.gov/sitemap.xml",false,0,0
digitizationguidelines.gov,"Library of Congress",404,"https://www.digitizationguidelines.gov/sitemap.xml",false,0,0
currencyreaderapplication.gov,"Library of Congress",200,"https://currencyreader.gov/",false,0,0
currencyreader.gov,"Library of Congress",404,"https://currencyreader.gov/sitemap.xml",false,0,0
digitalpreservation.gov,"Library of Congress",404,"https://digitalpreservation.gov/sitemap.xml",false,0,0
lis.gov,"Library of Congress",500,"undefined",false,0,0
copyrightclaimsboard.gov,"Library of Congress",500,"undefined",false,0,0
crb.gov,"Library of Congress",404,"https://www.crb.gov/sitemap.xml",false,0,0
congress.gov,"Library of Congress",403,"undefined",false,0,0
ccb.gov,"Library of Congress",200,"https://ccb.gov/sitemap.xml",true,12,0
copyright.gov,"Library of Congress",200,"https://copyright.gov/sitemap.xml",true,1,0
asianpacificheritage.gov,"Library of Congress",404,"https://asianpacificheritage.gov/sitemap.xml",false,0,0
blackhistorymonth.gov,"Library of Congress",404,"https://blackhistorymonth.gov/sitemap.xml",false,0,0
americaslibrary.gov,"Library of Congress",200,"https://www.loc.gov/families/",false,0,0
africanamericanhistorymonth.gov,"Library of Congress",200,"https://blackhistorymonth.gov/",false,0,0
americanmemory.gov,"Library of Congress",200,"https://www.loc.gov/sitemap.xml",true,0,0
usgovernmentmanual.gov,"Government Publishing Office",404,"https://usgovernmentmanual.gov/sitemap.xml",false,0,0
uscode.gov,"Government Publishing Office",200,"https://www.govinfo.gov/app/collection/uscode",false,0,0
senatecalendar.gov,"Government Publishing Office",200,"https://www.govinfo.gov/app/collection/ccal",false,0,0
ofr.gov,"Government Publishing Office",500,"undefined",false,0,0
presidentialdocuments.gov,"Government Publishing Office",200,"https://www.govinfo.gov/app/collection/cpd",false,0,0
housecalendar.gov,"Government Publishing Office",200,"https://www.govinfo.gov/app/collection/ccal",false,0,0
gpo.gov,"Government Publishing Office",200,"https://www.gpo.gov/sitemap/sitemap-index.xml",false,0,0
crs.gov,"Library of Congress",500,"undefined",false,0,0
fedreg.gov,"Government Publishing Office",500,"undefined",false,0,0
govinfo.gov,"Government Publishing Office",200,"https://www.govinfo.gov/sitemap/sitemap.xml",true,182,0
federalregister.gov,"Government Publishing Office",200,"https://unblock.federalregister.gov/",false,0,0
fdsys.gov,"Government Publishing Office",200,"https://www.govinfo.gov/about#fdsys-transition",false,0,4
fdlp.gov,"Government Publishing Office",404,"https://fdlp.gov/sitemap.xml",false,0,0
ecfr.gov,"Government Publishing Office",200,"https://unblock.federalregister.gov/",false,0,0
gpodev.gov,"Government Publishing Office",500,"undefined",false,0,0
congressionalrecord.gov,"Government Publishing Office",200,"https://www.govinfo.gov/app/collection/crec",false,0,0
congressionaldirectory.gov,"Government Publishing Office",200,"https://www.govinfo.gov/app/collection/cdir",false,0,0
gaoinnovationlab.gov,"Government Accountability Office",500,"undefined",false,0,0
gaoinnovation.gov,"Government Accountability Office",500,"undefined",false,0,0
gaoinnovations.gov,"Government Accountability Office",200,"https://gaoinnovations.gov/sitemap.xml",false,0,0
gao.gov,"Government Accountability Office",404,"https://www.gao.gov/sitemap.xml",false,0,0
eseclab.gov,"Government Accountability Office",500,"undefined",false,0,0
gaonet.gov,"Government Accountability Office",500,"undefined",false,0,0
fasab.gov,"Government Accountability Office",200,"https://fasab.gov/sitemap.xml",true,0,0
cbo.gov,"Congressional Budget Office",200,"https://www.cbo.gov/sitemap.xml",true,0,0
solarium.gov,"Cyberspace Solarium Commission",404,"https://www.solarium.gov/sitemap.xml",false,0,0
visitthecapital.gov,"Architect of the Capitol",404,"undefined",false,0,0
cbonews.gov,"Congressional Budget Office",404,"http://www.cbonews.gov/sitemap.xml",false,0,0
uscapitolgiftstore.gov,"Architect of the Capitol",500,"undefined",false,0,0
uscapitol.gov,"Architect of the Capitol",404,"undefined",false,0,0
uscapitolgiftshop.gov,"Architect of the Capitol",500,"undefined",false,0,0
uscapitalgiftshop.gov,"Architect of the Capitol",500,"undefined",false,0,0
usbg.gov,"Architect of the Capitol",200,"https://www.usbg.gov/sitemap.xml",true,1,0
capitolgiftshop.gov,"Architect of the Capitol",500,"undefined",false,0,0
capitol.gov,"Architect of the Capitol",200,"https://www.aoc.gov/virtual-capitol",false,0,0
capitalgiftshop.gov,"Architect of the Capitol",500,"undefined",false,0,0
capital.gov,"Architect of the Capitol",200,"https://www.aoc.gov/virtual-capitol",false,0,0
aoc.gov,"Architect of the Capitol",200,"https://www.aoc.gov/sitemap.xml",true,1027,0
ustaxcourt.gov,"U.S. Courts",200,"https://ustaxcourt.gov/sitemap.xml",true,38,0
ussc.gov,"U.S. Courts",500,"undefined",false,0,0
visitthecapitol.gov,"Architect of the Capitol",200,"https://www.visitthecapitol.gov/sitemap.xml",true,1816,0
usprobation.gov,"U.S. Courts",200,"https://www.uscourts.gov/about-federal-courts/probation-and-pretrial-services",false,0,1
uscourts.gov,"U.S. Courts",200,"https://www.uscourts.gov/sitemap.xml",true,0,0
usc.gov,"U.S. Courts",500,"undefined",false,0,0
uscavc.gov,"U.S. Courts",200,"http://www.uscavc.gov/sitemap.xml",true,120,0
usbankruptcy.gov,"U.S. Courts",200,"https://www.uscourts.gov/court-programs/bankruptcy",false,0,2
judicialconference.gov,"U.S. Courts",200,"https://www.uscourts.gov/administration-policies/governance-judicial-conference",false,0,2
pacer.gov,"U.S. Courts",200,"https://pacer.uscourts.gov/sitemap.xml",true,675,152
fjc.gov,"U.S. Courts",200,"https://www.fjc.gov/sitemap.xml",true,8556,0
federalrules.gov,"U.S. Courts",200,"https://www.uscourts.gov/forms-rules",false,0,1
federalprobation.gov,"U.S. Courts",200,"https://www.uscourts.gov/about-federal-courts/probation-and-pretrial-services",false,0,1
cavc.gov,"U.S. Courts",500,"undefined",false,0,0
federalcourts.gov,"U.S. Courts",200,"https://www.uscourts.gov/",false,0,1
bankruptcy.gov,"U.S. Courts",200,"https://www.uscourts.gov/court-programs/bankruptcy",false,0,2
supremecourtus.gov,"The Supreme Court",200,"https://www.supremecourt.gov/sitemap.xml",false,0,4
supremecourt.gov,"The Supreme Court",200,"https://www.supremecourt.gov/sitemap.xml",false,0,4
supreme-court.gov,"The Supreme Court",500,"undefined",false,0,0
scus.gov,"The Supreme Court",500,"undefined",false,0,0
scinet.gov,"The Supreme Court",500,"undefined",false,0,0
scinet-test.gov,"The Supreme Court",500,"undefined",false,0,0
sc-us.gov,"The Supreme Court",500,"undefined",false,0,0
fd.gov,"Administrative Office of the U. S. Courts",500,"undefined",false,0,0
rpo.gov,"gov Administration",500,"undefined",false,0,0
pubservices.gov,"gov Administration",500,"undefined",false,0,0
psup.gov,"gov Administration",500,"undefined",false,0,0
psd.gov,"gov Administration",500,"undefined",false,0,0
scuspd.gov,"The Supreme Court",404,"https://www.scuspd.gov/sitemap.xml",false,0,0
owc.gov,"gov Administration",500,"undefined",false,0,0
osdls.gov,"gov Administration",500,"undefined",false,0,0
nrpo.gov,"gov Administration",500,"undefined",false,0,0
jpo.gov,"gov Administration",500,"undefined",false,0,0
erpo.gov,"gov Administration",500,"undefined",false,0,0
ecfc.gov,"gov Administration",500,"undefined",false,0,0
uscapital.gov,"Architect of the Capitol",500,"undefined",false,0,0
domainops.gov,"gov Administration",500,"undefined",false,0,0
fraho.gov,"gov Administration",500,"undefined",false,0,0
ustda.gov,"United States Trade and Development Agency",200,"https://www.ustda.gov/wp-sitemap.xml",true,0,0
uspsinnovates.gov,"United States Postal Service",500,"undefined",false,0,0
uspsoig.gov,"United States Postal Service",200,"https://www.uspsoig.gov/sitemap.xml",true,0,0
uspsinformeddelivery.gov,"United States Postal Service",500,"undefined",false,0,0
usps.gov,"United States Postal Service",200,"https://www.usps.com/",false,0,0
uspis.gov,"United States Postal Service",404,"https://www.uspis.gov/sitemap_index.xml",false,0,0
ata.gov,"gov Administration",500,"undefined",false,0,0
postoffice.gov,"United States Postal Service",500,"undefined",false,0,0
myusps.gov,"United States Postal Service",500,"undefined",false,0,0
mail.gov,"United States Postal Service",500,"undefined",false,0,0
changeofaddress.gov,"United States Postal Service",500,"undefined",false,0,0
usitcoig.gov,"United States International Trade Commission",500,"undefined",false,0,0
usidfc.gov,"United States International Development Finance Corporation",200,"https://www.dfc.gov/",false,0,0
usitc.gov,"United States International Trade Commission",200,"https://www.usitc.gov/sitemap.xml",true,0,8
usdfc.gov,"United States International Development Finance Corporation",200,"https://www.dfc.gov/",false,0,0
idfc.gov,"United States International Development Finance Corporation",200,"https://www.dfc.gov/",false,0,0
purchasing.gov,"United States Postal Service",500,"undefined",false,0,0
dfc.gov,"United States International Development Finance Corporation",200,"https://www.dfc.gov/sitemap.xml",true,584,0
ich.gov,"United States Interagency Council on Homelessness",500,"undefined",false,0,0
usip.gov,"United States Institute of Peace",200,"https://usip.gov/sitemap.xml",false,0,0
ushmm.gov,"United States Holocaust Memorial Museum",500,"undefined",false,0,0
usich.gov,"United States Interagency Council on Homelessness",200,"https://usich.gov/sitemap.xml",true,0,0
ipcc-wg3.gov,"United States Global Change Research Program",404,"https://www.ipcc-wg3.gov/sitemap.xml",false,0,0
globalchange.gov,"United States Global Change Research Program",403,"undefined",false,0,0
voa.gov,"United States Agency for Global Media",200,"https://www.voanews.com/sitemap.xml",true,0,0
usagm.gov,"United States Agency for Global Media",200,"https://www.usagm.gov/wp-sitemap.xml",false,0,0
ocb.gov,"United States Agency for Global Media",500,"undefined",false,0,0
opic.gov,"United States International Development Finance Corporation",500,"undefined",false,0,0
ibb.gov,"United States Agency for Global Media",200,"https://www.usagm.gov/wp-sitemap.xml",false,0,0
bbg.gov,"United States Agency for Global Media",200,"https://www.usagm.gov/wp-sitemap.xml",false,0,0
adf.gov,"United States African Development Foundation",500,"undefined",false,0,0
usadf.gov,"United States African Development Foundation",404,"https://usadf.gov/sitemap.xml",false,0,0
jwod.gov,"United States AbilityOne",500,"undefined",false,0,0
abilityone.gov,"United States AbilityOne",404,"https://abilityone.gov/sitemap.xml",false,0,0
peacecorpsoig.gov,"U.S. Peace Corps",500,"undefined",false,0,0
usgcrp.gov,"United States Global Change Research Program",500,"undefined",false,0,0
oscnet.gov,"U.S. Office of Special Counsel",500,"undefined",false,0,0
peacecorps.gov,"U.S. Peace Corps",403,"undefined",false,0,0
osc.gov,"U.S. Office of Special Counsel",404,"https://osc.gov/sitemap.xml",false,0,0
access-board.gov,"United States Access Board",200,"https://www.access-board.gov/sitemap.xml",true,1040,149
nwtrb.gov,"U.S. Nuclear Waste Technical Review Board",200,"https://www.nwtrb.gov/sitemap/sitemap.xml",true,584,0
wildfire.gov,"U.S. Department of Agriculture",200,"https://www.wildfire.gov/sitemap.xml",true,282,0
usdapii.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0
usda.gov,"U.S. Department of Agriculture",200,"https://www.usda.gov/sitemap.xml",true,0,0
rural.gov,"U.S. Department of Agriculture",200,"https://www.rural.gov/sitemap.xml",true,0,0
recreation.gov,"U.S. Department of Agriculture",404,"https://www.recreation.gov/sitemap.xml.gz",false,0,0
rec.gov,"U.S. Department of Agriculture",404,"https://www.recreation.gov/sitemap.xml.gz",false,0,0
symbols.gov,"U.S. Department of Agriculture",200,"https://symbols.gov/sitemap.xml",true,162,0
nutrition.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0
nwcg.gov,"U.S. Department of Agriculture",200,"https://www.nwcg.gov/sitemap.xml",true,2014,0
myplate.gov,"U.S. Department of Agriculture",404,"https://www.myplate.gov/sitemap.xml",false,0,0
lcacommons.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0
itap.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0
invasivespeciesinfo.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0
fedsfeedfamilies.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0
nafri.gov,"U.S. Department of Agriculture",404,"https://nafri.gov/sitemap.xml",false,0,0
forestsandrangelands.gov,"U.S. Department of Agriculture",404,"https://forestsandrangelands.gov/sitemap.xml",false,0,0
farmers.gov,"U.S. Department of Agriculture",200,"https://www.farmers.gov/sitemap.xml",true,1119,3
farmerfairness.gov,"U.S. Department of Agriculture",200,"https://www.usda.gov/farmerfairness",false,0,9
execsec.gov,"U.S. Department of Agriculture",200,"https://www.usda.gov/",false,0,0
dietaryguidelines.gov,"U.S. Department of Agriculture",404,"https://www.dietaryguidelines.gov/sitemap.xml",false,0,0
connect.gov,"U.S. Department of Agriculture",404,"https://www.connect.gov/sitemap.xml",false,0,0
choosemyplate.gov,"U.S. Department of Agriculture",404,"https://www.myplate.gov/sitemap.xml",false,0,0
bosque.gov,"U.S. Department of Agriculture",404,"https://bosque.gov/sitemap.xml",false,0,0
arsusda.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0
empowhr.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0
ars-grin.gov,"U.S. Department of Agriculture",404,"https://ars-grin.gov/sitemap.xml",false,0,0
biopreferred.gov,"U.S. Department of Agriculture",404,"https://www.biopreferred.gov/sitemap.xml",false,0,0
22007apply.gov,"U.S. Department of Agriculture",404,"https://22007apply.gov/sitemap.xml",false,0,0
aff.gov,"U.S. Department of Agriculture",200,"https://www.aff.gov/aff-site-index.xml",true,4,0
uscirf.gov,"U.S. Commission on International Religious Freedom",200,"https://www.uscirf.gov/sitemap.xml",true,56,0
usccr.gov,"U.S. Commission on Civil Rights",200,"https://www.usccr.gov/sitemap.xml",true,738,0
civilrightsusa.gov,"U.S. Commission on Civil Rights",500,"undefined",false,0,0
cssbmb.gov,"U.S. Commission on Civil Rights",200,"https://cssbmb.gov/sitemap.xml",true,58,0
heritageabroad.gov,"U.S. Commission for the Preservation of Americas Heritage Abroad",200,"https://www.heritageabroad.gov/sitemap_index.xml",true,0,0
ag.gov,"U.S. Department of Agriculture",500,"undefined",false,0,0
workwithusaid.gov,"U.S. Agency for International Development",200,"https://www.workwithusaid.gov/",false,0,4
usaid.gov,"U.S. Agency for International Development",200,"https://www.usaid.gov/sitemap.xml",true,0,0
prosperafrica.gov,"U.S. Agency for International Development",200,"https://www.prosperafrica.gov/",false,0,0
pmi.gov,"U.S. Agency for International Development",200,"https://www.pmi.gov/",false,0,0
foreignassistance.gov,"U.S. Agency for International Development",404,"https://foreignassistance.gov/errors/not_found",false,0,0
neglecteddiseases.gov,"U.S. Agency for International Development",200,"https://www.neglecteddiseases.gov/",false,0,2
dfafacts.gov,"U.S. Agency for International Development",404,"https://dfafacts.gov/sitemap.xml",false,0,0
feedthefuture.gov,"U.S. Agency for International Development",404,"https://www.feedthefuture.gov/sitemap_index.xml",false,0,0
worldwar1centennial.gov,"The United States World War One Centennial Commission",404,"https://worldwar1centennial.org/sitemap.xml",false,0,0
ptf.gov,"The Intelligence Community",400,"undefined",false,0,0
childreninadversity.gov,"U.S. Agency for International Development",200,"https://www.childreninadversity.gov/",false,0,0
cfa.gov,"U.S. Commission of Fine Arts",200,"https://cfa.gov/sitemap.xml",true,0,0
tva.gov,"Tennessee Valley Authority",403,"undefined",false,0,0
tvaoig.gov,"Tennessee Valley Authority",200,"https://www.tvaoig.gov/sitemap.xml",true,931,0
stb.gov,"Surface Transportation Board",200,"https://www.stb.gov/sitemap_index.xml",true,0,0
sji.gov,"State Justice Institute",200,"https://www.sji.gov/wp-sitemap.xml",true,0,0
scrc.gov,"Southeast Crescent Regional Commission",200,"https://scrc.gov/sitemap.xml",true,1,0
ssab.gov,"Social Security Advisory Board",200,"https://www.ssab.gov/sitemap.xml",true,49,1
sbrc.gov,"Southwest Border Regional Commission",404,"https://sbrc.gov/wp-sitemap.xml",false,0,0
ssa.gov,"Social Security Administration",200,"https://www.ssa.gov/sitemap.xml",true,50000,13617
segurosocial.gov,"Social Security Administration",404,"https://www.ssa.gov/espanol/sitemap.xml",false,0,0
smithsonian.gov,"Smithsonian Institution",500,"undefined",false,0,0
socialsecurity.gov,"Social Security Administration",200,"https://www.ssa.gov/sitemap.xml",true,50000,13617
itis.gov,"Smithsonian Institution",200,"https://itis.gov/sitemap.xml",true,560,4
sbir.gov,"Small Business Administration",404,"https://www.sbir.gov/sitemap.xml",false,0,0
sba.gov,"Small Business Administration",200,"https://www.sba.gov/sitemap.xml",true,0,0
